City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la foa,-21.7108,165.8276,22.61,53,1,3.63,NC,1724882539
1,waitangi,-43.9535,-176.5597,13.23,93,75,3.58,NZ,1724882094
2,invercargill,-46.4,168.35,11.12,76,55,2.68,NZ,1724882542
3,avarua,-21.2078,-159.775,26.03,73,20,7.2,CK,1724882145
4,mus,39.0,41.75,20.99,36,0,2.1,TR,1724882527
5,klyuchi,52.2667,79.1667,12.89,84,7,1.54,RU,1724882226
6,bam,29.106,58.357,30.52,14,0,2.41,IR,1724882546
7,rakvere,59.3464,26.3558,13.03,93,34,0.86,EE,1724882547
8,grytviken,-54.2811,-36.5092,2.74,88,100,1.84,GS,1724882549
9,keminmaa,65.8596,24.8228,12.87,100,0,3.09,FI,1724882551
10,puerto ayora,-0.7393,-90.3518,21.42,92,55,0.89,EC,1724882552
11,albany,42.6001,-73.9662,25.23,77,96,2.77,US,1724882256
12,crane,31.3974,-102.3501,32.5,32,37,6.07,US,1724882554
13,hyesan,41.4017,128.1778,15.54,92,38,0.29,KP,1724882555
14,ushuaia,-54.8,-68.3,-0.19,100,100,4.12,AR,1724882418
15,bilibino,68.0546,166.4372,2.88,72,100,1.9,RU,1724882054
16,russkaya polyana,49.417,31.9201,24.01,44,98,3.87,UA,1724882559
17,isafjordur,66.0755,-23.124,3.85,87,51,2.53,IS,1724882560
18,bethel,41.3712,-73.414,31.06,68,0,3.09,US,1724881975
19,north battleford,52.7834,-108.2847,14.05,94,100,5.66,CA,1724882410
20,college,64.8569,-147.8028,16.36,65,98,1.85,US,1724882563
21,ilulissat,69.2167,-51.1,5.01,87,75,2.06,GL,1724882564
22,port-aux-francais,-49.35,70.2167,5.35,97,100,13.19,TF,1724882021
23,adamstown,-25.066,-130.1015,18.72,67,36,2.37,PN,1724882566
24,manokwari,-0.8667,134.0833,25.56,82,100,1.5,ID,1724882567
25,toliara,-23.35,43.6667,21.27,80,0,2.1,MG,1724882569
26,hithadhoo,-0.6,73.0833,28.09,77,90,4.47,MV,1724882039
27,zhangye,38.9342,100.4517,23.54,48,44,1.17,CN,1724882571
28,darovskoy,58.77,47.9564,12.28,85,74,2.18,RU,1724882572
29,apatity,67.5641,33.4031,11.23,80,100,1.55,RU,1724882573
30,san antonio de pale,-1.4014,5.6325,23.2,79,23,3.72,GQ,1724882547
31,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,63,0,6.0,RU,1724882575
32,roma,43.2128,-75.4557,24.82,75,100,4.12,US,1724882576
33,maumere,-8.6199,122.2111,23.85,84,83,1.51,ID,1724882577
34,sidney,-33.8679,151.2073,16.32,57,0,4.63,AU,1724882405
35,lunca,43.8333,24.7667,22.4,61,100,1.73,RO,1724882580
36,iqaluit,63.7506,-68.5145,9.85,61,20,12.86,CA,1724882034
37,gaspe,48.8334,-64.4819,18.12,48,20,8.23,CA,1724882351
38,mpika,-11.8343,31.4529,18.12,45,4,1.84,ZM,1724882584
39,mejit,10.2753,170.8646,28.37,75,36,4.68,MH,1724882384
40,prilep,41.3464,21.5544,20.03,66,100,1.56,MK,1724882586
41,yellowknife,62.456,-114.3525,19.67,72,40,3.6,CA,1724882588
42,fortaleza,-3.7227,-38.5247,27.07,74,0,7.2,BR,1724882545
43,guercif,34.2257,-3.3536,28.44,47,100,6.28,MA,1724882590
44,puerto natales,-51.7236,-72.4875,5.25,75,75,6.69,CL,1724881853
45,north bay,46.3168,-79.4663,19.01,52,40,4.63,CA,1724882592
46,nova sintra,14.8667,-24.7167,26.95,79,82,3.72,CV,1724882593
47,vorgashor,67.5833,63.95,7.27,92,69,4.48,RU,1724882053
48,mar del plata,-38.0023,-57.5575,11.01,88,0,8.05,AR,1724882595
49,wailua homesteads,22.0669,-159.378,27.08,83,51,2.24,US,1724882596
50,meraux,29.933,-89.9498,30.99,71,40,4.12,US,1724882598
51,edinburgh of the seven seas,-37.0676,-12.3116,14.13,91,96,11.15,SH,1724882014
52,tazovsky,67.4667,78.7,10.11,92,63,2.47,RU,1724882316
53,tura,25.5198,90.2201,24.26,88,40,1.15,IN,1724882601
54,the pas,53.8251,-101.2541,21.01,56,0,7.2,CA,1724882603
55,port alfred,-33.5906,26.891,8.99,59,55,2.68,ZA,1724882604
56,constantia,44.1833,28.65,21.5,74,17,0.46,RO,1724882605
57,longyearbyen,78.2186,15.6401,4.91,75,0,2.57,SJ,1724882606
58,freetown,8.484,-13.2299,21.84,94,75,2.57,SL,1724882608
59,ta`u,-14.2336,-169.5144,25.68,81,33,6.13,AS,1724882474
60,sayan,-11.1361,-77.1933,22.35,55,8,2.64,PE,1724882610
61,margaret river,-33.95,115.0667,14.02,65,99,10.73,AU,1724882047
62,jamestown,42.097,-79.2353,27.23,69,75,3.6,US,1724882541
63,fort bragg,35.139,-79.006,34.91,44,0,1.54,US,1724882613
64,colonia,50.9333,6.95,24.42,65,0,0.51,DE,1724882404
65,arraial do cabo,-22.9661,-42.0278,20.92,64,20,5.66,BR,1724882487
66,whitehorse,60.7161,-135.0538,14.43,53,100,7.2,CA,1724881997
67,thinadhoo,0.5333,72.9333,27.89,78,100,2.82,MV,1724882618
68,sailana,23.4667,74.9167,21.95,95,83,3.84,IN,1724882619
69,cheongsong gun,36.4335,129.057,21.33,92,100,4.31,KR,1724882620
70,birao,10.2849,22.7882,22.0,97,97,1.9,CF,1724882621
71,udachny,66.4167,112.4,8.23,67,95,1.77,RU,1724882622
72,punta arenas,-53.15,-70.9167,3.06,87,75,11.32,CL,1724882623
73,fisterra,42.9049,-9.2629,18.69,83,88,7.42,ES,1724882624
74,porto novo,6.4965,2.6036,25.9,91,88,2.52,BJ,1724882052
75,hamilton,39.1834,-84.5333,32.92,60,75,4.63,US,1724882435
76,yol,32.1667,76.2,24.54,82,99,0.97,IN,1724882628
77,georgetown,5.4112,100.3354,26.96,87,40,1.54,MY,1724882279
78,bartow,27.8964,-81.8431,28.05,78,75,5.66,US,1724882429
79,harpswell center,43.8018,-69.9842,23.39,67,1,2.68,US,1724882631
80,remire-montjoly,4.9167,-52.2667,25.02,83,100,4.12,GF,1724882632
81,tongchuanshi,35.0806,109.0897,19.9,77,14,2.3,CN,1724882633
82,chonchi,-42.6128,-73.8092,10.62,86,15,2.03,CL,1724882634
83,damghan,36.1683,54.348,22.61,49,1,0.23,IR,1724882635
84,san patricio,28.017,-97.5169,27.97,51,87,7.63,US,1724882046
85,tandlianwala,31.0333,73.1333,24.87,91,56,2.53,PK,1724882638
86,dudinka,69.4058,86.1778,9.95,96,92,3.48,RU,1724882639
87,shangmei,27.7428,111.2956,23.65,87,67,0.6,CN,1724882640
88,anadyr,64.75,177.4833,11.28,81,0,2.0,RU,1724882641
89,aasiaat,68.7098,-52.8699,3.55,88,100,4.75,GL,1724882642
90,blackmans bay,-43.0167,147.3167,8.07,83,99,1.34,AU,1724882611
91,changji,44.0167,87.3167,23.44,53,0,2.0,CN,1724882644
92,uturoa,-16.7333,-151.4333,26.46,79,26,4.89,PF,1724882645
93,hawaiian paradise park,19.5933,-154.9731,28.83,80,20,4.63,US,1724882647
94,noosa heads,-26.3833,153.15,20.03,77,7,5.45,AU,1724882648
95,hermanus,-34.4187,19.2345,7.11,61,98,2.46,ZA,1724882649
96,posto fiscal rolim de moura,-13.0833,-62.2667,30.65,25,5,1.31,BR,1724882650
97,santa ines,-3.6667,-45.38,29.29,34,92,0.71,BR,1724882651
98,port lincoln,-34.7333,135.8667,9.91,85,0,5.74,AU,1724882652
99,calama,-22.4667,-68.9333,22.27,11,0,8.23,CL,1724882482
100,alesund,62.4723,6.1549,15.08,94,0,2.57,NO,1724882655
101,coquimbo,-29.9533,-71.3436,11.85,78,100,3.6,CL,1724882657
102,las matas de santa cruz,19.6712,-71.5047,32.56,51,27,7.85,DO,1724882658
103,badger,64.8,-147.5333,17.21,62,100,2.57,US,1724882659
104,olonkinbyen,70.9221,-8.7187,5.93,95,100,4.93,SJ,1724882660
105,cova figueira,14.8905,-24.2934,20.73,86,57,2.65,CV,1724882661
106,ribeira grande,38.5167,-28.7,23.76,73,20,4.92,PT,1724882662
107,raymondville,26.4815,-97.7831,31.93,54,58,8.02,US,1724882663
108,holualoa,19.6228,-155.9522,27.15,82,20,4.63,US,1724882664
109,manggar,-2.8833,108.2667,26.54,77,100,4.28,ID,1724882665
110,east aurora,42.7678,-78.6134,24.45,85,97,1.79,US,1724882667
111,taltal,-25.4,-70.4833,13.49,74,31,1.13,CL,1724882668
112,wotje,9.4543,170.2367,28.49,74,92,4.75,MH,1724882669
113,bull savanna,17.8868,-77.5902,28.11,74,30,4.46,JM,1724882670
114,sao vicente,-23.9631,-46.3919,17.98,26,20,2.06,BR,1724882671
115,talnakh,69.4865,88.3972,11.42,94,84,2.33,RU,1724882672
116,panaba,21.2833,-88.2667,31.18,62,86,4.96,MX,1724882673
